-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     129.000us         0.26%     129.000us       4.031us           0 b           0 b           0 b           0 b            32  
                                    aten::_foreach_sqrt         0.02%     325.000us         0.05%     825.000us     206.250us     127.000us         0.26%     127.000us      31.750us           0 b           0 b      15.20 Mb           0 b             4  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     127.000us         0.26%     127.000us      31.750us           0 b           0 b           0 b           0 b             4  
                                   aten::_foreach_lerp_         0.00%      77.000us         0.01%     173.000us      43.250us     118.000us         0.24%     126.000us      31.500us           0 b           0 b           0 b           0 b             4  
                                aten::_foreach_addcmul_         0.01%     164.000us         0.01%     223.000us      55.750us     119.000us         0.24%     119.000us      29.750us           0 b           0 b           0 b           0 b             4  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     119.000us         0.24%     119.000us      29.750us           0 b           0 b           0 b           0 b             4  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     118.000us         0.24%     118.000us      29.500us           0 b           0 b           0 b           0 b             4  
       aten::_amp_foreach_non_finite_check_and_unscale_         0.00%      48.000us         0.01%     101.000us      25.250us     116.000us         0.24%     116.000us      29.000us           0 b           0 b           0 b           0 b             4  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     116.000us         0.24%     116.000us      29.000us           0 b           0 b           0 b           0 b             4  
                                               aten::ge         0.01%     112.000us         0.01%     190.000us      31.667us      24.000us         0.05%     113.000us      18.833us           0 b           0 b       3.00 Kb       3.00 Kb             6  
                                    aten::_foreach_mul_         0.01%     155.000us         0.01%     208.000us      52.000us     111.000us         0.23%     111.000us      27.750us           0 b           0 b           0 b           0 b             4  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     111.000us         0.23%     111.000us      27.750us           0 b           0 b           0 b           0 b             4  
