-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::ge         0.01%     104.000us         0.01%     150.000us      25.000us      23.000us         0.02%      23.000us       3.833us           0 b           0 b       3.00 Kb       3.00 Kb             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.000us         0.02%      23.000us       3.833us           0 b           0 b           0 b           0 b             6  
                                              aten::div         0.01%     126.000us         0.01%     207.000us      25.875us      21.000us         0.01%      21.000us       2.625us           0 b           0 b       4.00 Kb       4.00 Kb             8  
                                       aten::reciprocal         0.00%      60.000us         0.01%      98.000us      24.500us      16.000us         0.01%      21.000us       5.250us           0 b           0 b       2.00 Kb       2.00 Kb             4  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.01%      20.000us       5.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.000us         0.01%      19.000us       3.167us           0 b           0 b           0 b           0 b             6  
void cask_cudnn::computeOffsetsKernel<true, false>(c...         0.00%       0.000us         0.00%       0.000us       0.000us      18.000us         0.01%      18.000us       4.500us           0 b           0 b           0 b           0 b             4  
                                               aten::eq         0.01%     112.000us         0.01%     193.000us      32.167us      18.000us         0.01%      18.000us       3.000us           0 b           0 b       3.00 Kb       3.00 Kb             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      18.000us         0.01%      18.000us       3.000us           0 b           0 b           0 b           0 b             6  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      17.000us         0.01%      17.000us       1.062us           0 b           0 b           0 b           0 b            16  
      autograd::engine::evaluate_function: MulBackward0         0.00%      70.000us         0.02%     288.000us      72.000us       0.000us         0.00%      17.000us       4.250us           0 b           0 b       2.00 Kb           0 b             4  
                                           MulBackward0         0.00%      41.000us         0.01%     218.000us      54.500us       0.000us         0.00%      17.000us       4.250us           0 b           0 b       2.00 Kb           0 b             4  
cask_cudnn::computeBOffsetsKernel(cask_cudnn::Comput...         0.00%       0.000us         0.00%       0.000us       0.000us      17.000us         0.01%      17.000us       4.250us           0 b           0 b           0 b           0 b             4  
                                              aten::add         0.00%      46.000us         0.00%      72.000us      18.000us      12.000us         0.01%      17.000us       4.250us           0 b           0 b       2.00 Kb       2.00 Kb             4  
void gemvNSP_kernel<__half, __half, __half, float, 1...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         0.01%      16.000us       4.000us           0 b           0 b           0 b           0 b             4  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         0.01%      16.000us       4.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         0.01%      16.000us       4.000us           0 b           0 b           0 b           0 b             4  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         0.01%      16.000us       4.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.03%     526.000us         0.03%     526.000us      17.533us      15.000us         0.01%      15.000us       0.500us           0 b           0 b           0 b           0 b            30  
                                        cudaMemsetAsync         0.01%     228.000us         0.01%     228.000us       3.800us      15.000us         0.01%      15.000us       0.250us           0 b           0 b         512 b         512 b            60  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      15.000us         0.01%      15.000us       3.750us           0 b           0 b           0 b           0 b             4  
void gemmk1_kernel<int, float, 256, 5, false, false,...         0.00%       0.000us         0.00%       0.000us       0.000us      15.000us         0.01%      15.000us       3.750us           0 b           0 b           0 b           0 b             4  
                               aten::_amp_update_scale_         0.00%      54.000us         0.01%      99.000us      24.750us      15.000us         0.01%      15.000us       3.750us           0 b           0 b           0 b           0 b             4  
at::native::amp_update_scale_cuda_kernel(float*, int...         0.00%       0.000us         0.00%       0.000us       0.000us      15.000us         0.01%      15.000us       3.750us           0 b           0 b           0 b           0 b             4  
                                              aten::sub         0.00%      49.000us         0.00%      73.000us      12.167us      12.000us         0.01%      12.000us       2.000us           0 b           0 b       3.00 Kb       3.00 Kb             6  
                                             aten::full         0.00%      23.000us         0.01%     121.000us      30.250us       0.000us         0.00%      12.000us       3.000us           0 b           0 b       2.00 Kb           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.01%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
                                        aten::ones_like         0.00%      27.000us         0.01%     101.000us      25.250us       0.000us         0.00%      11.000us       2.750us           0 b           0 b       2.00 Kb           0 b             4  
      autograd::engine::evaluate_function: DivBackward0         0.00%      29.000us         0.01%     131.000us      32.750us       0.000us         0.00%       9.000us       2.250us         -32 b         -32 b           0 b      -2.00 Kb             4  
                                           DivBackward0         0.00%      14.000us         0.01%     102.000us      25.500us       0.000us         0.00%       9.000us       2.250us           0 b           0 b       2.00 Kb           0 b             4  
                                             aten::div_         0.00%      53.000us         0.00%      73.000us      18.250us       8.000us         0.01%       8.000us       2.000us           8 b           8 b           0 b           0 b             4  
                                    aten::empty_strided         0.12%       2.029ms         0.12%       2.141ms       3.810us       0.000us         0.00%       4.000us       0.007us      10.50 Kb      10.50 Kb     220.97 Mb     220.97 Mb           562  
                                         cudaEventQuery         0.01%     236.000us         0.01%     236.000us       2.052us       4.000us         0.00%       4.000us       0.035us           0 b           0 b           0 b           0 b           115  
                                         nccl:broadcast         0.00%       0.000us             0      13.338ms       1.334ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                            cudaStreamGetCaptureInfo_v2         0.00%      11.000us         0.00%      11.000us       0.324us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            34  
                                            aten::empty         0.17%       2.926ms         0.17%       2.973ms       2.390us       0.000us         0.00%       0.000us       0.000us       6.24 Kb       6.24 Kb     860.09 Mb     860.09 Mb          1244  
                                          aten::random_         0.00%      32.000us         0.00%      32.000us       8.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...        64.89%        1.138s        68.11%        1.194s     119.430ms       0.000us         0.00%       0.000us       0.000us      16.48 Mb      -6.58 Kb           0 b           0 b            10  
                                         aten::randperm         1.99%      34.873ms         3.98%      69.761ms       8.720ms       0.000us         0.00%       0.000us       0.000us       3.12 Kb         -32 b           0 b           0 b             8  
                                    aten::scalar_tensor         0.00%      15.000us         0.00%      15.000us       3.750us       0.000us         0.00%       0.000us       0.000us          32 b          32 b           0 b           0 b             4  
                                          aten::resize_         0.00%       3.000us         0.00%       3.000us       0.375us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8  
                                     aten::resolve_conj         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                         aten::uniform_         0.09%       1.492ms         0.09%       1.492ms       1.943us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           768  
                                             aten::rand         0.03%     545.000us         0.05%     803.000us       6.273us       0.000us         0.00%       0.000us       0.000us         512 b           4 b           0 b           0 b           128  
                                               aten::lt         0.07%       1.228ms         0.17%       2.918ms      22.797us       0.000us         0.00%       0.000us       0.000us         384 b        -148 b           0 b           0 b           128  
                                       aten::is_nonzero         0.01%     158.000us         0.02%     301.000us       2.352us       0.000us         0.00%       0.000us       0.000us          -2 b          -2 b           0 b           0 b           128  
                                       aten::lift_fresh         0.02%     282.000us         0.02%     282.000us       0.734us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           384  
                                             aten::view         0.06%       1.121ms         0.06%       1.121ms       2.595us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           432  
                                          aten::permute         0.07%       1.202ms         0.07%       1.308ms       6.812us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192  
                                       aten::as_strided         0.01%     218.000us         0.01%     218.000us       0.337us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           646  
                                          aten::detach_         0.02%     423.000us         0.03%     474.000us       2.469us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192  
                                                detach_         0.00%      56.000us         0.00%      56.000us       0.292us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192  
                                            aten::stack         0.02%     388.000us         0.62%      10.914ms     909.500us       0.000us         0.00%       0.000us       0.000us      16.48 Mb           0 b           0 b           0 b            12  
                                           aten::narrow         0.38%       6.609ms         0.39%       6.780ms     102.727us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            66  
                                            aten::slice         0.01%     178.000us         0.01%     187.000us       2.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            66  
                                        aten::unsqueeze         0.02%     277.000us         0.02%     289.000us       1.445us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           200  
                     Optimizer.zero_grad#Adam.zero_grad         0.02%     318.000us         0.02%     318.000us      79.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -14.94 Mb     -14.94 Mb             4  
                                   cudaEventElapsedTime         0.00%      48.000us         0.00%      48.000us       3.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
                                          aten::reshape         0.00%      41.000us         0.00%      83.000us       2.441us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            34  
                                       aten::empty_like         0.01%     238.000us         0.04%     668.000us       7.591us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     710.43 Mb      22.00 Mb            88  
                                          aten::flatten         0.00%      17.000us         0.00%      41.000us       6.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                                                aten::t         0.01%     114.000us         0.01%     232.000us       5.273us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            44  
                                        aten::transpose         0.01%      99.000us         0.01%     118.000us       2.682us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            44  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.00%      46.000us         0.00%      46.000us       4.600us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                           aten::expand         0.00%      24.000us         0.00%      31.000us       5.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                                          aten::squeeze         0.00%      41.000us         0.00%      42.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
autograd::engine::evaluate_function: SqueezeBackward...         0.00%      24.000us         0.00%      70.000us      17.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                       SqueezeBackward1         0.00%      15.000us         0.00%      46.000us      11.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
        autograd::engine::evaluate_function: TBackward0         0.00%      31.000us         0.00%      72.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8  
                                             TBackward0         0.00%      11.000us         0.00%      41.000us       5.125us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8  
                        torch::autograd::AccumulateGrad         0.01%     198.000us         0.02%     411.000us       4.281us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            96  
                                           aten::detach         0.01%     114.000us         0.02%     271.000us       2.657us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           102  
                                                 detach         0.01%     165.000us         0.01%     165.000us       1.618us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           102  
                                        nccl:all_reduce         0.00%       0.000us             0     598.000us      74.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8  
     autograd::engine::evaluate_function: ViewBackward0         0.00%      12.000us         0.00%      41.000us      10.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          ViewBackward0         0.00%      13.000us         0.00%      25.000us       6.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                      aten::result_type         0.00%       1.000us         0.00%       1.000us       0.002us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           480  
                                  nccl:_all_gather_base         0.00%       0.000us             0       1.101ms      68.812us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
                          aten::unflatten_dense_tensors         0.01%     157.000us         0.02%     421.000us      52.625us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8  
                                  cudaDeviceSynchronize         0.00%      64.000us         0.00%      64.000us      64.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.754s
Self CUDA time total: 149.737ms
